,Team,Player,Age,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,Guaranteed
,Boston Celtics,Jayson Tatum,25,"$30,351,780","$32,600,060","$34,848,340","$37,096,620",,,"$97,800,180"
,Boston Celtics,Jaylen Brown,26,"$28,741,071","$30,723,215",,,,,"$59,464,286"
,Boston Celtics,Al Horford,37,"$26,500,000","$10,000,000","$9,500,000",,,,"$46,000,000"
,Boston Celtics,Malcolm Brogdon,30,"$22,600,000","$22,500,000","$22,500,000",,,,"$67,600,000"
,Boston Celtics,Marcus Smart,29,"$17,207,142",,,,,,"$17,207,142"
,Boston Celtics,Derrick White,29,"$16,892,857","$18,107,143","$19,321,429",,,,"$54,321,429"
,Boston Celtics,Robert Williams,25,"$10,937,502","$11,812,501","$12,687,500","$13,562,499",,,"$49,000,002"
,Boston Celtics,Danilo Gallinari,34,"$6,479,000",,,,,,"$6,479,000"
,Boston Celtics,Grant Williams,24,"$4,306,281",,,,,,"$4,306,281"
,Boston Celtics,Mike Muscala,32,"$3,500,000",,,,,,"$3,500,000"
,Boston Celtics,Payton Pritchard,25,"$2,239,200","$4,037,277",,,,,"$6,276,477"
,Boston Celtics,Luke Kornet,27,"$2,133,278","$2,413,304",,,,,"$2,133,278"
,Boston Celtics,Blake Griffin,34,"$1,836,090",,,,,,"$1,836,090"
,Boston Celtics,Sam Hauser,25,"$1,637,966","$1,927,896","$2,092,344",,,,"$5,658,206"
,Boston Celtics,Mfiondu Kabengele,,,,,,,,25
,Boston Celtics,JD Davison,,,,,,,,20
,Boston Celtics,Justin Champagnie,,,,,,,,22
,Boston Celtics,Demetrius Jackson,28,"$92,857","$92,857",,,,,"$185,714"
,Boston Celtics,Team Totals,"$175,455,024","$134,214,253","$100,949,613","$50,659,119",,,,"$421,768,085"
,Atlanta Hawks,Salary,Salary,Salary,Salary,Salary,,,,Salary
,Atlanta Hawks,Player,Age,2022-23,2023-24,2024-25,2025-26,2026-27,,2027-28
,Atlanta Hawks,Trae Young,24,"$37,096,500","$40,064,220","$43,031,940","$45,999,660","$48,967,380",,"$215,159,700"
,Atlanta Hawks,John Collins,25,"$23,500,000","$25,340,000","$26,580,000","$26,580,000",,,"$102,000,000"
,Atlanta Hawks,Clint Capela,29,"$18,706,896","$20,616,000","$22,265,280",,,,"$61,588,176"
,Atlanta Hawks,Bogdan Bogdanovic,30,"$18,000,000","$18,000,000",,,,,"$36,000,000"
,Atlanta Hawks,Dejounte Murray,26,"$16,571,120","$17,714,000",,,,,"$34,285,120"
,Atlanta Hawks,De'Andre Hunter,25,"$9,835,881","$20,089,286","$21,696,429","$23,303,571","$24,910,714",,"$99,835,881"
,Atlanta Hawks,Onyeka Okongwu,22,"$6,395,160","$8,109,063",,,,,"$14,504,223"
,Atlanta Hawks,AJ Griffin,19,"$3,536,160","$3,712,920","$3,889,920","$5,967,137",,,"$7,249,080"
,Atlanta Hawks,Saddiq Bey,24,"$2,959,080","$4,556,983",,,,,"$7,516,063"
,Atlanta Hawks,Jalen Johnson,21,"$2,792,640","$2,925,360","$4,510,905",,,,"$5,718,000"
,Atlanta Hawks,Bruno Fernando,24,"$2,717,391","$2,581,522","$2,717,391","$2,853,260",,,"$2,717,391"
,Atlanta Hawks,Garrison Mathews,26,"$2,000,000","$2,000,000","$2,230,253",,,,"$2,000,000"
,Atlanta Hawks,Aaron Holiday,26,"$1,836,090",,,,,,"$1,836,090"
,Atlanta Hawks,Vit Krejci,23,"$1,563,518","$1,836,096","$1,988,598",,,,"$1,563,518"
,Atlanta Hawks,Tyrese Martin,24,"$1,017,781","$1,719,864",,,,,"$1,017,781"
,Atlanta Hawks,Trent Forrest,,,,,,,,25
,Atlanta Hawks,Team Totals,"$148,528,217","$169,265,314","$128,910,716","$104,703,628","$73,878,094",,,"$592,991,023"
,Brooklyn Nets,Salary,Salary,Salary,Salary,Salary,,,,Salary
,Brooklyn Nets,Player,Age,2022-23,2023-24,2024-25,2025-26,2026-27,,2027-28
,Brooklyn Nets,Ben Simmons,26,"$35,448,672","$37,893,408","$40,338,144",,,,"$113,680,224"
,Brooklyn Nets,Mikal Bridges,26,"$20,100,000","$21,700,000","$23,300,000","$24,900,000",,,"$90,000,000"
,Brooklyn Nets,Spencer Dinwiddie,30,"$19,500,000","$20,357,143",,,,,"$38,357,143"
,Brooklyn Nets,Joe Harris,31,"$18,642,857","$19,928,571",,,,,"$38,571,428"
,Brooklyn Nets,Dorian Finney-Smith,30,"$12,939,848","$13,932,008","$14,924,167","$15,378,480",,,"$41,796,023"
,Brooklyn Nets,Royce O'Neale,30,"$9,200,000","$9,500,000",,,,,"$11,700,000"
